cid	author	title	year
12228237510741922196	B Berube, E Ernst, J Cahn, B Roche, C de Santis Alves, J Lynn, ...	Teosinte Pollen Drive guides maize domestication and evolution by RNAi	2023
14072230040117113426	J Ross-Ibarra, R Sawers, MB Hufford	Maize diversity and climate change	2017
3019874932806319751	J Ross-Ibarra	Recombination, genetic diversity, and plant domestication	2006
6614828188007191971	RA Fairbanks, J Ross-Ibarra	An ancient origin of the naked grains of maize	2025
1953885462158113209	G Xu, X Yang, M Zhang, C Kang, Z Tian, Y Qi, M Luo, P Liu, J Ross-Ibarra, ...	The dominance of gene expression controlled by trans-eQTL hotspots contributes to phenotypic heterosis in maize	2025
12699100131549422568	B Liu, M Munasinghe, RA Fairbanks, CN Hirsch, J Ross-Ibarra	Genome-wide selection on transposable elements in maize	2025
14155094826299563540	E Cryan, G Phinney, AS Seetharam, MMS Evans, EA Kellogg, J Zhan, ...	Molecular evolution of a reproductive barrier in maize and related species	2025
1071790169840414222	J Ross-Ibarra	Genetic Data Analysis II. Methods for Discrete Population Genentic Data	2002
NA	Y Cao, J Yan, J Ross-Ibarra, N Yang	Plant domestication revisited: Genomic insights into origins, mechanisms, and convergent evolution	2026
NA	SJ Snodgrass, F Li, S Mambakkam, SG Medina-Muñoz, L Sparreo, ...	Maize genetic diversity is largely unstructured by human ethnolinguistic diversity in its center of origin	2026
NA	S Perez-Limon, AL Alonso-Nieves, MR Ramirez-Flores, ...	The MexMAGIC population reveals the genetic architecture of clinal trait variation in Mexican native maize	2026
NA	AR Phillips, T AuBuchon-Elder, K Barry, M Stitzer, ES Buckler, ...	The origins and adaptive consequences of polyploidy in a dominant prairie grass	2025
NA	DA O’Donnell, J Yang, P Zamora, A Lorant, C Miao, A Van Deynze, ...	HERITABILITY AND QTL MAPPING OF AERIAL ROOTS AND OTHER YIELD COMPONENT TRAITS WITH IMPLICATIONS FOR N2 FIXATION IN ZEA MAYS	2025
NA	J Ross-Ibarra, A Molina-Cruz	The ethnobotany of Chaya (Cnidoscolus aconitifoliusSSP. Aconitifoliusbreckon) La Etnobotanica de Chaya (Cnidoscolus aconitifoliusssp. aconitifoliusBreckon): A nutritious Maya …	2002
